db,id,year,title,venue,type,url,query,already_screened_d01,triage_score,triage_terms
crossref,doi:10.1016/j.proeng.2011.08.182,2011,An optical fiber Blade Tip Clearance Sensor for Active Clearance Control Applications,Procedia Engineering,journal-article,https://doi.org/10.1016/j.proeng.2011.08.182,tip clearance optical capacitive measurement fan blade,False,4,tip clearance;optical
crossref,doi:10.1115/96-gt-114,1996,Calculation of Tip Clearance Effects in a Transonic Compressor Rotor,Volume 1: Turbomachinery,proceedings-article,https://doi.org/10.1115/96-gt-114,non-axisymmetric tip clearance rotor performance,False,4,tip clearance;rotor
crossref,doi:10.1115/1.2841340,1999,Dual-Laser Probe Measurement of Blade-Tip Clearance,Journal of Turbomachinery,journal-article,https://doi.org/10.1115/1.2841340,tip clearance optical capacitive measurement fan blade,False,4,tip clearance;rotor
crossref,doi:10.1115/1.4053597,2022,Effect of Differential Tip Clearance on the Performance of a Tandem Rotor,Journal of Turbomachinery,journal-article,https://doi.org/10.1115/1.4053597,non-axisymmetric tip clearance rotor performance,False,4,tip clearance;rotor
crossref,doi:10.1115/gt2021-59007,2021,Effect of Differential Tip Clearance on the Performance of a Tandem Rotor,Volume 2A: Turbomachinery — Axial Flow Fan and Compressor Aerodynamics,proceedings-article,https://doi.org/10.1115/gt2021-59007,non-axisymmetric tip clearance rotor performance,False,4,tip clearance;rotor
crossref,doi:10.1115/79-gt-42,1979,Effect of Rotor Tip Clearance and Configuration on Overall Performance of a 12.77-Centimeter Tip Diameter Axial-Flow Turbine,Volume 1A: Gas Turbines,proceedings-article,https://doi.org/10.1115/79-gt-42,non-axisymmetric tip clearance rotor performance,False,4,tip clearance;rotor
crossref,doi:10.1115/gt2014-26084,2014,Effect of Tip Clearance Size on the Ram-Rotor Performance,Volume 2A: Turbomachinery,proceedings-article,https://doi.org/10.1115/gt2014-26084,non-axisymmetric tip clearance rotor performance,False,4,tip clearance;rotor
crossref,doi:10.1115/gt2016-56050,2016,Effects of Double-Leakage Tip Clearance Flow on the Performance of a Compressor Stage With a Large Rotor Tip Gap,Volume 2A: Turbomachinery,proceedings-article,https://doi.org/10.1115/gt2016-56050,non-axisymmetric tip clearance rotor performance,False,4,tip clearance;rotor
crossref,doi:10.1115/1.4035521,2017,Effects of Double-Leakage Tip Clearance Flow on the Performance of a Compressor Stage With a Large Rotor Tip Gap,Journal of Turbomachinery,journal-article,https://doi.org/10.1115/1.4035521,non-axisymmetric tip clearance rotor performance,False,4,tip clearance;rotor
crossref,doi:10.1115/gt2015-42625,2015,Effects of Inlet Swirl on Hot Streak Migration Across Tip Clearance and Heat Transfer on Rotor Blade Tip,Volume 5B: Heat Transfer,proceedings-article,https://doi.org/10.1115/gt2015-42625,non-axisymmetric tip clearance rotor performance,False,4,tip clearance;rotor
